arm,seed,held_out,zd,keep,fp,zd_in_sample,keep_in_sample,feasible,n_feasible_trials,tuning_objective,params
override,2,Web Attack - XSS,0.0015337423312883436,0.909933774834437,0.09626272880451277,0.5423574305601807,0.9016556291390728,True,44.0,0.40689452714370655,"{'qb': 0.90629, 'qm': 0.10531, 'qu': 0.91064, 'qz': 0.924, 'qc': 0.7305}"
continuous,2,DDoS,0.636156982830003,0.9152317880794701,0.104174733911733,0.40118969131111626,0.9220198675496689,True,39.0,0.30089226848333717,"{'qb': 0.54117, 'qm': 0.05937, 'qu': 0.92796, 'qz': 0.81459, 'qc': 0.18296, 'w': 0.15608, 'taun': 0.72957}"
continuous,2,DoS Hulk,0.946831283338926,0.9198675496688742,0.08747161201871252,0.31131005020847974,0.9091059602649006,True,41.0,0.23360899187993087,"{'qb': 0.92109, 'qm': 0.05994, 'qu': 0.79158, 'qz': 0.84126, 'qc': 0.39932, 'w': 0.12523, 'taun': 0.93782}"
continuous,2,DoS slowloris,0.26536675951717736,0.9033112582781457,0.08298186308882168,0.5623051020555937,0.901158940397351,True,41.0,0.4217288265416953,"{'qb': 0.91274, 'qm': 0.10651, 'qu': 0.94299, 'qz': 0.75537, 'qc': 0.13408, 'w': 0.3065, 'taun': 0.72473}"
continuous,2,FTP-Patator,0.0005058168942842691,0.8993377483443709,0.09882680453370452,0.5428949163628654,0.9086092715231787,True,38.0,0.4075546228549711,"{'qb': 0.66251, 'qm': 0.10793, 'qu': 0.90932, 'qz': 0.84932, 'qc': 0.01866, 'w': 0.6847, 'taun': 0.84835}"
continuous,2,Web Attack - XSS,0.0,0.909933774834437,0.08537848897447436,0.5418364764627189,0.9091059602649005,True,34.0,0.4065038115706102,"{'qb': 0.72831, 'qm': 0.08392, 'qu': 0.92153, 'qz': 0.64106, 'qc': 0.91144, 'w': 0.90514, 'taun': 0.97978}"
recommended-fixed,2,DDoS,0.6361647944756043,0.9132450331125828,0.09145901141798621,,,True,,,"{'rule': 'thresholds', 'qb': 0.75, 'qm': 0.1, 'qu': 0.92}"
recommended-fixed,2,DoS Hulk,0.9468370688358423,0.9311258278145695,0.08823560192985945,,,True,,,"{'rule': 'thresholds', 'qb': 0.75, 'qm': 0.1, 'qu': 0.92}"
recommended-fixed,2,DoS slowloris,0.5838440111420613,0.909271523178808,0.08771232116879991,,,True,,,"{'rule': 'thresholds', 'qb': 0.75, 'qm': 0.1, 'qu': 0.92}"
recommended-fixed,2,FTP-Patator,0.0005058168942842691,0.9105960264900662,0.0946405584452282,,,True,,,"{'rule': 'thresholds', 'qb': 0.75, 'qm': 0.1, 'qu': 0.92}"
recommended-fixed,2,Web Attack - XSS,0.0,0.9178807947019868,0.08689600318154703,,,True,,,"{'rule': 'thresholds', 'qb': 0.75, 'qm': 0.1, 'qu': 0.92}"
submitted,3,DDoS,0.6180339650350742,0.8860927152317881,0.05838766731902335,0.3732369203173293,0.8816225165562914,True,,,{}
submitted,3,DoS Hulk,0.93214769216528,0.8966887417218543,0.05738296825778903,0.2947084885347778,0.8789735099337749,True,,,{}
submitted,3,DoS slowloris,0.5606313834726091,0.8814569536423841,0.05656665027053615,0.3875875657079456,0.8827814569536424,True,,,{}
submitted,3,FTP-Patator,0.0001686056314280897,0.866225165562914,0.05657711588575735,0.5277032601682409,0.8865894039735099,True,,,{}
submitted,3,Web Attack - XSS,0.0,0.8821192052980132,0.05520612029178135,0.5277454115760979,0.8826158940397352,True,,,{}
thresholds,3,DDoS,0.6358288937147499,0.909933774834437,0.10150600203032935,0.38821110257280866,0.9081125827814569,True,41.0,0.2912847811531776,"{'qb': 0.86287, 'qm': 0.11257, 'qu': 0.90905}"
thresholds,3,DoS Hulk,0.9467502863820974,0.9357615894039735,0.09039151866542475,0.3047167460427278,0.9385761589403974,True,50.0,0.22866401375561693,"{'qb': 0.91764, 'qm': 0.06494, 'qu': 0.75314}"
thresholds,3,DoS slowloris,0.5780872794800371,0.9350993377483444,0.0916892549528524,0.3968824977682428,0.9387417218543046,True,50.0,0.29778832754975315,"{'qb': 0.91764, 'qm': 0.06494, 'qu': 0.75314}"
thresholds,3,FTP-Patator,0.0005058168942842691,0.9158940397350993,0.10393402476164561,0.5470399188665248,0.9201986754966888,True,52.0,0.4118136814811819,"{'qb': 0.90961, 'qm': 0.08525, 'qu': 0.72338}"
thresholds,3,Web Attack - XSS,0.004601226993865031,0.9423841059602649,0.09287186947284697,0.5402540108897858,0.9369205298013245,True,50.0,0.40531696239091036,"{'qb': 0.91764, 'qm': 0.06494, 'qu': 0.75314}"
override,3,DDoS,0.635742965613136,0.9165562913907285,0.1134891314585928,0.3856578548091772,0.9220198675496689,True,39.0,0.28936984533045396,"{'qb': 0.51702, 'qm': 0.05602, 'qu': 0.91297, 'qz': 0.73114, 'qc': 0.51492}"
override,3,DoS Hulk,0.9467676428728463,0.9211920529801324,0.09089386819604191,0.30472065186552844,0.915728476821192,True,39.0,0.2286669431227174,"{'qb': 0.63616, 'qm': 0.06745, 'qu': 0.91711, 'qz': 0.71295, 'qc': 0.39173}"
override,3,DoS slowloris,0.5780872794800371,0.919205298013245,0.09222300132913314,0.3968907427137307,0.9162251655629139,True,39.0,0.2977945112588691,"{'qb': 0.63616, 'qm': 0.06745, 'qu': 0.91711, 'qz': 0.71295, 'qc': 0.39173}"
override,3,FTP-Patator,0.0005058168942842691,0.8860927152317881,0.10083620265617314,0.546614353160158,0.9024834437086093,True,39.0,0.4114945072014069,"{'qb': 0.57489, 'qm': 0.1073, 'qu': 0.91057, 'qz': 0.75203, 'qc': 0.39737}"
override,3,Web Attack - XSS,0.004601226993865031,0.9185430463576159,0.09199275779426694,0.5402622558352737,0.9163907284768211,True,39.0,0.4053231461000263,"{'qb': 0.63616, 'qm': 0.06745, 'qu': 0.91711, 'qz': 0.71295, 'qc': 0.39173}"
continuous,3,DDoS,0.6357585889043386,0.8993377483443709,0.09905704806857071,0.3871331970804103,0.9051324503311259,True,37.0,0.2904763520338788,"{'qb': 0.62689, 'qm': 0.09449, 'qu': 0.9115, 'qz': 0.90435, 'qc': 0.83961, 'w': 0.30192, 'taun': 0.8839}"
continuous,3,DoS Hulk,0.9467502863820974,0.9231788079470199,0.09099852434825381,0.30472065186552844,0.9211920529801325,True,35.0,0.2286669431227174,"{'qb': 0.75079, 'qm': 0.05729, 'qu': 0.91728, 'qz': 0.91326, 'qc': 0.83634, 'w': 0.17998, 'taun': 0.91267}"
continuous,3,DoS slowloris,0.5780872794800371,0.9052980132450331,0.09091479942648428,0.39690527969330613,0.9054635761589405,True,34.0,0.29780541399355065,"{'qb': 0.61804, 'qm': 0.08574, 'qu': 0.9161, 'qz': 0.80494, 'qc': 0.78061, 'w': 0.20837, 'taun': 0.85485}"
continuous,3,FTP-Patator,0.0005058168942842691,0.8960264900662251,0.1030444474678444,0.5459463900829239,0.9059602649006623,True,38.0,0.4109935348934812,"{'qb': 0.62689, 'qm': 0.09449, 'qu': 0.9115, 'qz': 0.90435, 'qc': 0.83961, 'w': 0.30192, 'taun': 0.8839}"
