arm,seed,held_out,zd,keep,fp,zd_on_train_folds,n_valid_trials
submitted-pipeline,4,Web Attack - XSS,0.024539877300613498,0.8821192052980132,0.056807359420623545,,
I-learned,0,DDoS,0.650569468964332,0.9350993377483444,0.15460853366265137,0.24234046984359123,41.0
I-learned,0,DoS Hulk,0.893627853696354,0.9370860927152318,0.1382089146110454,0.19085070446721783,41.0
I-learned,0,DoS slowloris,0.002414113277623027,0.9278145695364238,0.10018733451245931,0.3723843463234346,45.0
I-learned,0,FTP-Patator,0.013488450514247175,0.9556291390728476,0.12548272650207742,0.3437452979776214,45.0
I-learned,0,Web Attack - XSS,0.07668711656441718,0.9324503311258279,0.14766983077100188,0.39080073303185653,44.0
I-learned,1,DDoS,0.9564735107097662,0.7801324503311259,0.538267522056284,0.6119601665376413,45.0
I-learned,1,DoS Hulk,0.93828031889659,0.9311258278145695,0.2843089030988687,0.46026039151400533,42.0
I-learned,1,DoS slowloris,0.04159702878365831,0.9456953642384106,0.14703142824250923,0.4080919732589068,45.0
I-learned,1,FTP-Patator,0.007587253414264037,0.9450331125827814,0.14260447300394555,0.42043918582735856,48.0
I-learned,1,Web Attack - XSS,0.08128834355828221,0.9278145695364238,0.25582149846678737,0.658115429527754,44.0
I-learned,2,DDoS,0.6447810395737966,0.9311258278145695,0.17039068141620706,0.2607719736708733,46.0
I-learned,2,DoS Hulk,0.655456302141791,0.9304635761589404,0.13121788364328998,0.18604309000522598,48.0
I-learned,2,DoS slowloris,0.002785515320334262,0.9264900662251656,0.12762817762242154,0.4016591686607813,45.0
I-learned,2,FTP-Patator,0.0023604788399932556,0.9298013245033112,0.10412240583562704,0.4017654277808665,47.0
I-learned,2,Web Attack - XSS,0.05368098159509203,0.9390728476821192,0.12887358583374323,0.3766656555669146,45.0
I-learned,3,DDoS,0.6425156623494306,0.9298013245033112,0.16117047440633797,0.2567371234560908,44.0
I-learned,3,DoS Hulk,0.9015829119563079,0.9350993377483444,0.15033856265240553,0.19197031105437146,44.0
I-learned,3,DoS slowloris,0.04159702878365831,0.9185430463576159,0.14368243137172818,0.4069667818475339,44.0
I-learned,3,FTP-Patator,0.006744225257123588,0.9430463576158941,0.11422172452407615,0.4125623460824293,45.0
I-learned,3,Web Attack - XSS,0.046012269938650305,0.9609271523178808,0.14181955186235623,0.39125502691779035,43.0
I-learned,4,DDoS,0.6406174324683238,0.956953642384106,0.16121233686722275,0.25813915946351584,48.0
I-learned,4,DoS Hulk,0.5740717170197748,0.93841059602649,0.10533641720128517,0.18413357945099995,50.0
I-learned,4,DoS slowloris,0.04159702878365831,0.928476821192053,0.15011878473276052,0.40616253028922406,48.0
I-learned,4,FTP-Patator,0.01045354914854156,0.9258278145695364,0.1359588073384894,0.4103807994410896,48.0
I-learned,4,Web Attack - XSS,0.05521472392638037,0.9264900662251656,0.1492292074389593,0.39919050574662995,48.0
I-learned-ori,0,DDoS,0.4984298592341463,0.9317880794701987,0.20250965453004155,0.38683261159170573,38.0
I-learned-ori,0,DoS Hulk,0.8971396503245663,0.8966887417218543,0.2052935081788783,0.2871551638191007,38.0
I-learned-ori,0,DoS slowloris,0.5680594243268338,0.9311258278145695,0.18507393957153773,0.36942522031853386,37.0
I-learned-ori,0,FTP-Patator,0.0008430281571404484,0.928476821192053,0.17766428399493464,0.5112293193609572,38.0
I-learned-ori,0,Web Attack - XSS,0.004601226993865031,0.9655629139072848,0.060250546828395306,0.19127031026425173,37.0
I-learned-ori,1,DDoS,0.8750214820254034,0.7622516556291391,0.32993898546326045,0.5104227339808621,34.0
I-learned-ori,1,DoS Hulk,0.05568540781967763,0.7649006622516556,0.1898567257276219,0.08308653420032995,29.0
I-learned-ori,1,DoS slowloris,0.900464252553389,0.7258278145695364,0.2820901926719762,0.5040620413488657,34.0
I-learned-ori,1,FTP-Patator,0.0005058168942842691,0.6139072847682119,0.10529455474040042,0.35038522804774896,33.0
I-learned-ori,1,Web Attack - XSS,0.0843558282208589,0.9245033112582781,0.28258207658737217,0.700630681436039,35.0
I-learned-ori,2,DDoS,0.17352008374084085,0.9344370860927153,0.08615294450084249,0.14504504136885737,42.0
I-learned-ori,2,DoS Hulk,0.8548765953507746,0.9132450331125828,0.11826145199945579,0.14357268423949426,41.0
I-learned-ori,2,DoS slowloris,0.23045496750232125,0.9304635761589404,0.08893679814967922,0.13081132042848728,38.0
I-learned-ori,2,FTP-Patator,0.0003372112628561794,0.9304635761589404,0.07594896966018147,0.18834075948835355,42.0
I-learned-ori,2,Web Attack - XSS,0.019938650306748466,0.9331125827814569,0.0930497849316072,0.18344039972738047,41.0
I-learned-ori,3,DDoS,0.9653944099864077,0.786092715231788,0.6012809913030738,0.5721965165633085,38.0
I-learned-ori,3,DoS Hulk,0.9244471957696446,0.9410596026490067,0.32688302581867273,0.4791725635070694,39.0
