zero_day_recall,zero_day_hits,n,ci_lo,ci_hi,balanced_accuracy,benign_fpr,tau_m,recall_Benign,recall_Brute Force,recall_DoS,recall_Port Scan,recall_Web Attack,detector,classifier,withheld,seed,recall_Botnet
0.11554192229038855,226,1956,0.10212252600567887,0.1304684607647459,0.9115146579951304,0.06163200803759249,1.0,0.9383679919624075,0.9006622516556292,0.8311258278145696,,0.9039735099337748,ocsvm,rf,Port Scan,0,0.9834437086092715
0.10429447852760736,204,1956,0.09151623049013322,0.11862396068049016,0.9176653970928186,0.06067963705246413,1.0,0.9393203629475358,0.9205298013245033,0.8211920529801324,,0.9238410596026491,ocsvm,rf,Port Scan,1,0.9834437086092715
0.0,0,2143,1.0842021724855044e-19,0.0017893537526540598,0.9317597945856173,0.06305533170767444,0.995,0.9369446682923256,0.9768211920529801,0.8841059602649006,0.9072847682119205,,ocsvm,rf,Web Attack,0,0.9536423841059603
0.0013999066728884741,3,2143,0.00047620627477331224,0.004107950967140698,0.897360828283443,0.05624221619867924,1.0,0.9437577838013208,0.9635761589403974,0.7781456953642384,0.8509933774834437,,ocsvm,rf,Web Attack,1,0.9503311258278145
0.010438413361169102,15,1437,0.006335945315863931,0.01715134304158854,0.8993573221021748,0.0482255549392471,1.0,0.9517744450607529,0.9343065693430657,0.8491484184914841,0.8978102189781022,0.8637469586374696,ecod,rf,Botnet,0,
0.010438413361169102,15,1437,0.006335945315863931,0.01715134304158854,0.9012661179068433,0.04841393601322854,1.0,0.9515860639867715,0.9343065693430657,0.8248175182481752,0.9221411192214112,0.8734793187347932,ecod,rf,Botnet,1,
0.0,0,9150,0.0,0.0004196553805279721,0.8751151096384089,0.05819928624504191,1.0,0.9418007137549581,,0.7450331125827815,0.8774834437086093,0.8874172185430463,ecod,rf,Brute Force,0,0.9238410596026491
0.0,0,9150,0.0,0.0004196553805279721,0.8825899084716106,0.06387164969492731,0.9962525050099793,0.9361283503050727,,0.7516556291390728,0.9105960264900662,0.8940397350993378,ecod,rf,Brute Force,1,0.9205298013245033
0.011281735709024457,3630,321759,0.010922598125270385,0.011652542701705194,0.9411539872503856,0.05913072599972789,0.995,0.9408692740002721,0.9503311258278145,,0.9470198675496688,0.8741721854304636,ecod,rf,DoS,0,0.9933774834437086
0.011235116966425181,3615,321759,0.010876726008546235,0.0116051784463735,0.9145354157458716,0.05646199411832425,1.0,0.9435380058816758,0.9139072847682119,,0.9139072847682119,0.8377483443708609,ecod,rf,DoS,1,0.9635761589403974
1.0,11,11,0.7411670330319684,1.0,0.8906948101152737,0.05649339096398782,1.0,0.9435066090360121,0.9205298013245033,0.7913907284768212,0.8774834437086093,0.8675496688741722,ecod,rf,Heartbleed,0,0.9437086092715232
1.0,11,11,0.7411670330319684,1.0,0.8846032387082308,0.056618978346642104,1.0,0.9433810216533579,0.9205298013245033,0.7814569536423841,0.847682119205298,0.8774834437086093,ecod,rf,Heartbleed,1,0.9370860927152318
0.6111111111111112,22,36,0.44864459096605147,0.75215126934629,0.8906948101152737,0.05649339096398782,1.0,0.9435066090360121,0.9205298013245033,0.7913907284768212,0.8774834437086093,0.8675496688741722,ecod,rf,Infiltration,0,0.9437086092715232
0.6111111111111112,22,36,0.44864459096605147,0.75215126934629,0.8846032387082308,0.056618978346642104,1.0,0.9433810216533579,0.9205298013245033,0.7814569536423841,0.847682119205298,0.8774834437086093,ecod,rf,Infiltration,1,0.9370860927152318
0.0081799591002045,16,1956,0.0050413368834158765,0.013246600979813734,0.9116821078386697,0.06079475881989723,1.0,0.9392052411801027,0.9006622516556292,0.8311258278145696,,0.9039735099337748,ecod,rf,Port Scan,0,0.9834437086092715
0.0081799591002045,16,1956,0.0050413368834158765,0.013246600979813734,0.917880988766375,0.059601678684681476,1.0,0.9403983213153185,0.9205298013245033,0.8211920529801324,,0.9238410596026491,ecod,rf,Port Scan,1,0.9834437086092715
0.0,0,2143,1.0842021724855044e-19,0.0017893537526540598,0.9320842286574743,0.061433161348389866,0.995,0.9385668386516102,0.9768211920529801,0.8841059602649006,0.9072847682119205,,ecod,rf,Web Attack,0,0.9536423841059603
0.0,0,2143,1.0842021724855044e-19,0.0017893537526540598,0.8976831692322558,0.05463051145461586,1.0,0.9453694885453842,0.9635761589403974,0.7781456953642384,0.8509933774834437,,ecod,rf,Web Attack,1,0.9503311258278145
0.030619345859429367,44,1437,0.02288737800390043,0.04085416570200106,0.8171962586265888,0.05270483825391676,0.9999996473658901,0.9472951617460832,0.8467153284671532,0.7883211678832117,0.7031630170316302,0.8004866180048662,ocsvm,lgbm,Botnet,0,
0.022268615170494086,32,1437,0.01581760327465885,0.03126700718360856,0.8172464935796506,0.05245366348860818,0.9999996473658901,0.9475463365113919,0.8467153284671532,0.7883211678832117,0.7031630170316302,0.8004866180048662,ocsvm,lgbm,Botnet,1,
0.0007650273224043716,7,9150,0.0003706339276135156,0.0015784340020590037,0.7529263488913136,0.05324905024541868,0.9999996867185984,0.9467509497545813,,0.6754966887417219,0.652317880794702,0.7615894039735099,ocsvm,lgbm,Brute Force,0,0.7284768211920529
0.0007650273224043716,7,9150,0.0003706339276135156,0.0015784340020590037,0.7529263488913136,0.05324905024541868,0.9999996867185984,0.9467509497545813,,0.6754966887417219,0.652317880794702,0.7615894039735099,ocsvm,lgbm,Brute Force,1,0.7284768211920529
0.7857185036005209,252812,321759,0.7842973177435422,0.78713286719138,0.6600700530856203,0.05064311205534217,0.9999996265242284,0.9493568879446578,0.5331125827814569,,0.6556291390728477,0.7086092715231788,ocsvm,lgbm,DoS,0,0.45364238410596025
0.7791048579837705,250684,321759,0.777668109443247,0.7805349421760196,0.6600826118238857,0.050580318364015026,0.9999996265242284,0.949419681635985,0.5331125827814569,,0.6556291390728477,0.7086092715231788,ocsvm,lgbm,DoS,1,0.45364238410596025
1.0,11,11,0.7411670330319684,1.0,0.7442403711084055,0.051114064740295756,0.9999995841161288,0.9488859352597042,0.5993377483443708,0.7086092715231788,0.7450331125827815,0.7350993377483444,ocsvm,lgbm,Heartbleed,0,0.7284768211920529
