arm,seed,imbalance,resampler,k_requested,n_train_malicious,rf_n_estimators,n_train_after_resample,k_used,fit_seconds,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,benign_fpr,benign_fp_count,attack_detection_rate,attacks_missed,phantom_classes,phantom_predictions,tau_b,tau_m,tau_u,rf_max_depth,rf_max_features,rf_max_samples,rf_class_weight
downsample-base,2,downsample,none,,3520,200,3520,,1.375775499996962,0.9405425454095878,0.8903599104281953,0.6878191835590217,0.9660804597905404,0.6730687519045496,0.7631656375098818,0.0585027890864564,5590.0,0.9145695364238412,129.0,1.0,4803.0,-0.0004815438509908,1.0,-0.0003907631335161,,,,
downsample-base,3,downsample,none,,3520,200,3520,,1.3476189999782946,0.9399861942489774,0.8935665125541292,0.6915546460457902,0.9659167498461252,0.6787836878575321,0.765914153617825,0.0591307259997278,5650.0,0.9251655629139072,113.0,1.0,4837.0,-0.0005906584932404,1.0,-0.0005175254873768,,,,
downsample-base,4,downsample,none,,3520,200,3520,,1.209507300023688,0.9385231967525576,0.9417304520501204,0.694097845734238,0.9649624920594754,0.6592223092510804,0.8071975303286747,0.0615378175006017,5880.0,0.956953642384106,65.0,1.0,4794.0,-0.0003823354666692,0.985,-0.0003074099534917,,,,
none-base,0,none,none,,164857,200,164857,,18.89001269999426,0.9632441863963178,0.9098369716538712,0.7695546824978866,0.9776601412279,0.7787926909148369,0.779860261417604,0.0562736130443428,5377.0,0.9913663769921024,610.0,1.0,4870.0,-0.0008534578730662,1.0,-0.000351310464784,,,,
none-base,1,none,none,,164857,200,164857,,18.539633199980017,0.963117836406847,0.9121456602364272,0.7803558974250009,0.9776166443168808,0.7913237667056491,0.7818391373455089,0.056284078659564,5378.0,0.9923288136552778,542.0,1.0,4938.0,-0.0004187107537423,1.0,-0.0001067516862022,,,,
none-base,2,none,none,,164857,200,164857,,18.17880460000015,0.9623537198038566,0.9162645338001378,0.783843700462394,0.976922902949262,0.7935880740590857,0.7853696004001182,0.0582306830907054,5564.0,0.9930223341919778,493.0,1.0,4976.0,-0.0005818709507489,1.0,-0.0003164573417955,,,,
none-base,3,none,none,,164857,200,164857,,18.962957099982304,0.9615354532053788,0.9045587291486904,0.7754810018022965,0.9760915652419484,0.7891053191970904,0.7753360535560203,0.0589528105409676,5633.0,0.9920032836074392,565.0,1.0,4970.0,-0.0001876956650736,1.0,-0.0001401887157151,,,,
none-base,4,none,none,,164857,200,164857,,18.365795699995942,0.9637556030203664,0.9063890710070508,0.7861650437411984,0.9779190727391208,0.8035471784311602,0.7769049180060437,0.0550909985243482,5264.0,0.9908143912588104,649.0,1.0,4846.0,-0.0005452021276874,1.0,-0.0004021987402639,,,,
smote-k5-base,0,none,smote,5.0,164857,200,788310,5.0,142.2947360999824,0.960993953250504,0.9328705351861788,0.7431081525865589,0.97606762821207,0.7330768449066329,0.7996033158738675,0.0594132976107,5677.0,0.9901350242024514,697.0,1.0,4857.0,-0.0008534578730662,1.0,-0.000351310464784,,,,
smote-k5-base,1,none,smote,5.0,164857,200,788310,5.0,147.7472587999946,0.9616497698625192,0.9359155253679,0.7434020725995377,0.9768895197847696,0.7292244940055037,0.8022133074582,0.0586702389299955,5606.0,0.9920315905681208,563.0,1.0,4932.0,-0.0004187107537423,1.0,-0.0001067516862022,,,,
