beta,seed,tau_b,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,benign_fpr,benign_fp_count,attack_detection_rate,attacks_missed,phantom_classes,phantom_predictions
4,1,-0.0004012257259976949,0.941078290971657,0.8843991592114175,0.691600585668818,0.9664803749690513,0.6785076908754064,0.758056422181215,0.05784345532752143,5527.0,0.9112582781456954,134.0,1.0,4812.0
4,2,-0.00045790642545759825,0.9405425454095878,0.8903599104281953,0.6878191835590217,0.9660804597905405,0.6730687519045496,0.7631656375098818,0.058502789086456446,5590.0,0.9145695364238411,129.0,1.0,4803.0
5,0,-0.00016556386021242736,0.9410576853731158,0.8904471238883721,0.698445647642278,0.9665279292326803,0.6846941542154207,0.763240391904319,0.05797950832539691,5540.0,0.9072847682119205,140.0,1.0,4819.0
5,1,-0.0004012257259976949,0.941078290971657,0.8843991592114175,0.691600585668818,0.9664803749690513,0.6785076908754064,0.758056422181215,0.05784345532752143,5527.0,0.9112582781456954,134.0,1.0,4812.0
5,2,-0.00045790642545759825,0.9405425454095878,0.8903599104281953,0.6878191835590217,0.9660804597905405,0.6730687519045496,0.7631656375098818,0.058502789086456446,5590.0,0.9145695364238411,129.0,1.0,4803.0
6,0,-0.00016556386021242736,0.9410576853731158,0.8904471238883721,0.698445647642278,0.9665279292326803,0.6846941542154207,0.763240391904319,0.05797950832539691,5540.0,0.9072847682119205,140.0,1.0,4819.0
6,1,-0.0004087650387041934,0.941078290971657,0.8843991592114175,0.691600585668818,0.9664803749690513,0.6785076908754064,0.758056422181215,0.05784345532752143,5527.0,0.9112582781456954,134.0,1.0,4812.0
6,2,-0.00045790642545759825,0.9405425454095878,0.8903599104281953,0.6878191835590217,0.9660804597905405,0.6730687519045496,0.7631656375098818,0.058502789086456446,5590.0,0.9145695364238411,129.0,1.0,4803.0
7,0,-0.00016556386021242736,0.9410576853731158,0.8904471238883721,0.698445647642278,0.9665279292326803,0.6846941542154207,0.763240391904319,0.05797950832539691,5540.0,0.9072847682119205,140.0,1.0,4819.0
7,1,-0.0004087650387041934,0.941078290971657,0.8843991592114175,0.691600585668818,0.9664803749690513,0.6785076908754064,0.758056422181215,0.05784345532752143,5527.0,0.9112582781456954,134.0,1.0,4812.0
7,2,-0.00045790642545759825,0.9405425454095878,0.8903599104281953,0.6878191835590217,0.9660804597905405,0.6730687519045496,0.7631656375098818,0.058502789086456446,5590.0,0.9145695364238411,129.0,1.0,4803.0
8,0,-0.00016556386021242736,0.9410576853731158,0.8904471238883721,0.698445647642278,0.9665279292326803,0.6846941542154207,0.763240391904319,0.05797950832539691,5540.0,0.9072847682119205,140.0,1.0,4819.0
8,1,-0.0004087650387041934,0.941078290971657,0.8843991592114175,0.691600585668818,0.9664803749690513,0.6785076908754064,0.758056422181215,0.05784345532752143,5527.0,0.9112582781456954,134.0,1.0,4812.0
8,2,-0.0004815438509908765,0.9405425454095878,0.8903599104281953,0.6878191835590217,0.9660804597905405,0.6730687519045496,0.7631656375098818,0.058502789086456446,5590.0,0.9145695364238411,129.0,1.0,4803.0
9,0,-0.00016752185464742738,0.9410576853731158,0.8904471238883721,0.698445647642278,0.9665279292326803,0.6846941542154207,0.763240391904319,0.05797950832539691,5540.0,0.9072847682119205,140.0,1.0,4819.0
9,1,-0.0004092301615862181,0.941078290971657,0.8843991592114175,0.691600585668818,0.9664803749690513,0.6785076908754064,0.758056422181215,0.05784345532752143,5527.0,0.9112582781456954,134.0,1.0,4812.0
9,2,-0.0004815438509908765,0.9405425454095878,0.8903599104281953,0.6878191835590217,0.9660804597905405,0.6730687519045496,0.7631656375098818,0.058502789086456446,5590.0,0.9145695364238411,129.0,1.0,4803.0
